id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000087191.14	6	1.5271e-10	2.462e-07	8e-06	1	6	-6.4221	1.0	1.0	1.0	20083	0	-6.4221
ENSG00000215472.10	6	1.057e-08	2.462e-07	8e-06	2	6	-4.7054	1.0	1.0	1.0	20082	0	-4.7054
ENSG00000119616.11	5	2.3722e-08	2.462e-07	8e-06	3	5	-7.9278	1.0	1.0	1.0	20081	0	-7.9278
ENSG00000164338.10	5	7.692e-08	2.462e-07	8e-06	4	5	-5.173	1.0	1.0	1.0	20080	0	-5.173
ENSG00000143374.18	3	1.1528e-07	2.462e-07	8e-06	5	3	-8.1026	1.0	1.0	1.0	20079	0	-8.1026
ENSG00000077380.16	6	1.2239e-07	2.462e-07	8e-06	6	6	-4.5806	1.0	1.0	1.0	20078	0	-4.5806
ENSG00000104824.18	6	2.7559e-07	2.462e-07	8e-06	7	6	-5.3339	1.0	1.0	1.0	20077	0	-5.3339
ENSG00000100865.15	3	2.9402e-07	2.462e-07	8e-06	8	3	-7.3709	1.0	1.0	1.0	20076	0	-7.3709
ENSG00000172809.13	3	3.0247e-07	2.462e-07	8e-06	9	3	-7.7686	1.0	1.0	1.0	20075	0	-7.7686
ENSG00000113734.18	5	3.0814e-07	2.462e-07	8e-06	10	5	-4.7769	1.0	1.0	1.0	20074	0	-4.7769
ENSG00000174231.18	5	3.2254e-07	2.462e-07	8e-06	11	5	-5.1057	1.0	1.0	1.0	20073	0	-5.1057
ENSG00000135972.9	3	4.3015e-07	2.462e-07	8e-06	12	3	-8.1659	1.0	1.0	1.0	20072	0	-8.1659
ENSG00000089009.16	5	4.8561e-07	2.462e-07	8e-06	13	5	-7.708	1.0	1.0	1.0	20071	0	-7.708
ENSG00000149428.21	6	5.4419e-07	2.462e-07	8e-06	14	6	-3.6472	1.0	1.0	1.0	20070	0	-3.6472
ENSG00000108883.13	6	6.7859e-07	2.462e-07	8e-06	15	6	-6.4542	1.0	1.0	1.0	20044	0	-6.4542
ENSG00000073111.15	3	7.1759e-07	2.462e-07	8e-06	16	3	-7.0347	1.0	1.0	1.0	20069	0	-7.0347
ENSG00000082898.19	6	8.5671e-07	2.462e-07	8e-06	17	6	-5.0089	1.0	1.0	1.0	20068	0	-5.0089
ENSG00000148835.12	3	8.8027e-07	2.462e-07	8e-06	18	3	-7.7652	1.0	1.0	1.0	20067	0	-7.7652
