id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000089009.16	5	3.6748e-08	2.462e-07	1.7e-05	1	5	-5.4084	1.0	1.0	1.0	20083	0	-5.4084
ENSG00000087191.14	6	3.8476e-08	2.462e-07	1.7e-05	2	6	-5.5006	1.0	1.0	1.0	20082	0	-5.5006
ENSG00000104824.18	6	1.6397e-07	2.462e-07	1.7e-05	3	6	-5.2517	1.0	1.0	1.0	20081	0	-5.2517
ENSG00000135972.9	3	2.4422e-07	2.462e-07	1.7e-05	4	3	-5.9684	1.0	1.0	1.0	20080	0	-5.9684
ENSG00000255154.9	6	2.6124e-07	2.462e-07	1.7e-05	5	5	-4.7452	0.36784	0.59357	1.0	8406	1	-4.7452
ENSG00000239900.14	6	6.3501e-07	2.462e-07	1.7e-05	6	6	-5.1567	1.0	1.0	1.0	20079	0	-5.1567
ENSG00000077380.16	6	6.4119e-07	2.462e-07	1.7e-05	7	6	-4.7967	1.0	1.0	1.0	20077	0	-4.7967
ENSG00000100575.14	6	6.4119e-07	2.462e-07	1.7e-05	8	6	-4.2874	1.0	1.0	1.0	20078	0	-4.2874
ENSG00000108883.13	6	6.6106e-07	2.462e-07	1.7e-05	9	6	-5.2461	1.0	1.0	1.0	20076	0	-5.2461
ENSG00000119616.11	5	7.9184e-07	2.462e-07	1.7e-05	10	5	-5.2823	1.0	1.0	1.0	20075	0	-5.2823
ENSG00000117481.12	3	1.0229e-06	2.462e-07	1.7e-05	11	3	-5.5611	0.99999	1.0	1.0	20032	0	-5.5611
ENSG00000132341.12	5	1.1774e-06	2.462e-07	1.7e-05	12	5	-5.4868	1.0	1.0	1.0	20074	0	-5.4868
ENSG00000073111.15	3	1.4135e-06	2.462e-07	1.7e-05	13	3	-5.8841	1.0	1.0	1.0	20073	0	-5.8841
ENSG00000051180.17	3	1.928e-06	2.462e-07	1.7e-05	14	3	-5.9409	1.0	1.0	1.0	20072	0	-5.9409
ENSG00000126254.12	3	2.7122e-06	2.462e-07	1.7e-05	15	3	-5.7316	1.0	1.0	1.0	20070	0	-5.7316
ENSG00000001497.18	3	2.7122e-06	2.462e-07	1.7e-05	16	3	-5.7946	1.0	1.0	1.0	20069	0	-5.7946
ENSG00000174177.13	3	2.7122e-06	2.462e-07	1.7e-05	17	3	-5.825	1.0	1.0	1.0	20071	0	-5.825
ENSG00000117751.18	5	2.9564e-06	2.462e-07	1.7e-05	18	5	-4.8203	1.0	1.0	1.0	20068	0	-4.8203
ENSG00000095906.17	4	3.169e-06	2.462e-07	1.7e-05	19	4	-5.237	1.0	1.0	1.0	20067	0	-5.237
ENSG00000155561.15	3	3.7128e-06	2.462e-07	1.7e-05	20	3	-6.022	1.0	1.0	1.0	20062	0	-6.022
ENSG00000071894.17	3	3.7128e-06	2.462e-07	1.7e-05	21	3	-5.7634	1.0	1.0	1.0	20064	0	-5.7634
ENSG00000127804.13	3	3.7128e-06	2.462e-07	1.7e-05	22	3	-5.6991	1.0	1.0	1.0	20065	0	-5.6991
ENSG00000175467.15	3	3.7128e-06	2.462e-07	1.7e-05	23	3	-5.6991	1.0	1.0	1.0	20063	0	-5.6991
ENSG00000100714.18	3	3.7128e-06	2.462e-07	1.7e-05	24	3	-5.6991	1.0	1.0	1.0	20066	0	-5.6991
ENSG00000113734.18	5	3.9492e-06	2.462e-07	1.7e-05	25	5	-5.2823	1.0	1.0	1.0	20061	0	-5.2823
ENSG00000173692.14	4	4.8758e-06	2.462e-07	1.7e-05	26	4	-5.3633	1.0	1.0	1.0	20060	0	-5.3633
ENSG00000165060.15	3	4.8993e-06	2.462e-07	1.7e-05	27	3	0.0	1.0	1.0	1.0	20056	0	0.0
ENSG00000107951.15	3	4.8993e-06	2.462e-07	1.7e-05	28	3	-5.6658	1.0	1.0	1.0	20059	0	-5.6658
ENSG00000130520.11	3	4.8993e-06	2.462e-07	1.7e-05	29	3	-5.6991	1.0	1.0	1.0	20057	0	-5.6991
ENSG00000138095.20	3	4.8993e-06	2.462e-07	1.7e-05	30	3	-5.8549	1.0	1.0	1.0	20058	0	-5.8549
ENSG00000174231.18	5	4.9652e-06	2.462e-07	1.7e-05	31	5	-4.9378	1.0	1.0	1.0	20055	0	-4.9378
ENSG00000127586.17	4	5.8974e-06	2.462e-07	1.7e-05	32	4	-5.0941	0.99999	1.0	1.0	20054	0	-5.0941
ENSG00000127922.10	3	6.4584e-06	2.462e-07	1.7e-05	33	3	-6.2413	0.99983	1.0	1.0	19777	0	-6.2413
ENSG00000124562.10	3	6.4617e-06	2.462e-07	1.7e-05	34	3	-5.6658	0.99999	1.0	1.0	20050	0	-5.6658
ENSG00000105193.9	3	6.4617e-06	2.462e-07	1.7e-05	35	3	-5.7316	0.99999	1.0	1.0	20053	0	-5.7316
ENSG00000241370.6	3	6.4617e-06	2.462e-07	1.7e-05	36	3	-5.6991	0.99999	1.0	1.0	20049	0	-5.6991
ENSG00000178999.13	3	6.4617e-06	2.462e-07	1.7e-05	37	3	-5.7634	0.99999	1.0	1.0	20052	0	-5.7634
ENSG00000196531.14	3	6.4617e-06	2.462e-07	1.7e-05	38	3	-5.7946	0.99999	1.0	1.0	20048	0	-5.7946
ENSG00000213741.11	3	6.4617e-06	2.462e-07	1.7e-05	39	3	-5.6317	0.99999	1.0	1.0	20051	0	-5.6317
ENSG00000119285.11	4	7.02e-06	2.462e-07	1.7e-05	40	4	-5.3392	0.99999	1.0	1.0	20047	0	-5.3392
ENSG00000215472.10	6	7.0902e-06	2.462e-07	1.7e-05	41	6	-5.105	0.99999	1.0	1.0	20046	0	-5.105
ENSG00000149428.21	6	7.5249e-06	2.462e-07	1.7e-05	42	6	-3.9069	0.99999	1.0	1.0	20045	0	-3.9069
ENSG00000089157.16	4	8.2469e-06	2.462e-07	1.7e-05	43	4	-5.6987	0.99999	1.0	1.0	20044	0	-5.6987
ENSG00000083093.12	3	8.4818e-06	2.462e-07	1.7e-05	44	3	-5.5968	0.99999	1.0	1.0	20041	0	-5.5968
ENSG00000129696.13	3	8.4818e-06	2.462e-07	1.7e-05	45	3	-5.7946	0.99999	1.0	1.0	20043	0	-5.7946
